Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-5-6-CN-4-NO2BI,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(I),I,CN,CN,NO2,47.9,2.151747078,2.0847,2.778,-8.953,C1,2.1096,0.0249,2.398,-0.38,-4.451,2.8473,0.225,-15.614,0.024353666,0.016472951,-0.000466032,-0.016006918,0.067756023,0.000466032,7.83E-07,-0.024353666,-10.32,-10.12141674,-9.75,-9.549073968,0.19681208,0.004113952,13.97,-0.06287
2-3-5-6-CNBI,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(I),I,CN,CN,H,42,2.158636404,2.0879,2.753,-8.346,C1,2.1091,0.0212,2.45,-0.303,-4.221,2.8802,0.217,-15.11,0.022821416,0.01547197,-0.0006396,-0.01483237,0.064446346,0.0006396,2.87E-06,-0.022821416,-9.3,-9.134039954,-8.74,-8.575158274,0.160568386,0.00427334,11.43,-0.05728
2-3-5-6-F-4-CF3BI,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(I),I,F,F,CF3,35.9,2.167132713,2.0817,2.846,-5.816,C1,2.101,0.0193,2.567,-0.279,-1.628,2.9373,0.185,-14.611,0.020316878,0.01385179,-0.000870203,-0.012981587,0.058888011,0.000870203,1.74E-06,-0.020316878,-7.74,-7.58503589,-7.23,-7.07782813,0.148443647,0.003728222,9.74,-0.04573
2-3-5-6-F-4-NO2BI,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(I),I,F,F,NO2,38.7,2.163719873,2.0812,2.851,-5.953,C1,2.1019,0.0207,2.546,-0.305,-1.606,2.921,0.194,-14.905,0.020967449,0.014290693,-0.000822702,-0.01346799,0.060453622,0.000822702,2.39E-06,-0.020967449,-8.18,-8.016994605,-7.66,-7.497093953,0.159431339,0.003474708,10.27,-0.0485
2-3-5-6-FBI,c1(F)c(F)cc(F)c(F)c1(I),I,F,F,H,30.6,2.173709529,2.084,2.831,-5.149,C1,2.1009,0.0169,2.599,-0.232,-1.322,2.9687,0.171,-14.115,0.019132465,0.013042885,-0.000942984,-0.012099901,0.055943504,0.000942984,1.57E-06,-0.019132465,-6.92,-6.798614002,-6.42,-6.294997347,0.120505669,0.004496984,8.84,-0.04091
2-3-5-6-NH2BI,c1(N)c(N)cc(N)c(N)c1(I),I,NH2,NH2,H,16.2,2.227444899,2.1174,2.361,-8.121,C1,2.1206,0.0032,2.38,0.019,-5.916,3.1479,0.123,-12.812,0.0141,0.00932,-0.00102,-0.0083,0.0414,0.00102,1.76E-06,-0.0141,-3.94,-3.880985364,-3.53,-3.473499735,0.054077514,0.002422751,5.36,-0.02238
2-3-5-6-OHBI,c1(O)c(O)cc(O)c(O)c1(I),I,OH,OH,H,30.7,2.20795611,2.1087,2.48,-6.178,C1,2.115,0.0063,2.458,-0.022,-3.36,3.0756,0.16,-13.375,0.0161,0.0107,-0.001,-0.00969,0.0468,0.001,6.12E-10,-0.0161,-5.75,-5.680131657,-5.31,-5.237803652,0.071871173,0.000325175,6.64,-0.02938
2-3-5-6-SHBI,c1(S)c(S)cc(S)c(S)c1(I),I,SH,SH,H,27.4,2.209367574,2.1209,2.3,-7.362,Cs,2.1274,0.0065,2.285,-0.015,-4.484,3.0585,0.16,-13.688,0.0165,0.011,-0.000992,-0.01,0.0481,0.000992,2.03E-06,-0.0165,-5.7,-5.622901535,-5.23,-5.157157442,0.071881213,0.000961345,7.25,-0.03164
2-4-6_BH2_3-5_CNBI,c1(B)c(C#N)c(B)c(C#N)c(B)c1(I),I,BH2,CN,BH2,33.1,2.206399597,2.1197,2.358,-12.143,Cs,2.1235,0.0038,2.374,0.016,-9.452,3.0287,0.165,-13.814,0.0176,0.0117,-0.000951,-0.0107,0.0504,0.000951,2.90E-06,-0.0176,-6.53,-6.4488697,-6.04,-5.955110076,0.084385595,0.000504329,7.46,-0.03569
2-4-6_BH2_3-5_FBI,c1(B)c(F)c(B)c(F)c(B)c1(I),I,BH2,F,BH2,23.2,2.206841853,2.1199,2.308,-12.854,C1,2.1256,0.0057,2.278,-0.03,-10.728,3.0587,0.158,-13.251,0.0164,0.011,-0.00101,-0.00998,0.048,0.00101,1.33E-06,-0.0164,-5.29,-5.220858709,-4.82,-4.747845883,0.069105111,0.003049006,6.82,-0.03131
2-4-6_BH2_3-5_NO2BI,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(I),I,BH2,NO2,BH2,27.9,2.201081176,2.1029,2.576,-10.971,C1,2.1093,0.0064,2.552,-0.024,-8.167,3.039,0.164,-13.825,0.0171,0.0114,-0.00099,-0.0104,0.0496,0.00099,3.64E-07,-0.0171,-5.94,-5.866732902,-5.49,-5.41395683,0.074140247,0.001902923,7.19,-0.03321
2-4-6_NH2_3-5_CNBI,c1(N)c(C#N)c(N)c(C#N)c(N)c1(I),I,NH2,CN,NH2,28.5,2.208844276,2.1062,2.518,-4.395,C1,2.113,0.0068,2.492,-0.026,-1.484,3.0844,0.155,-13.736,0.0157,0.0105,-0.00102,-0.00949,0.0461,0.00102,2.43E-06,-0.0157,-5.4,-5.334262853,-4.94,-4.874485373,0.064986139,0.000528489,6.67,-0.02821
2-4-6_NH2_3-5_FBI,c1(N)c(F)c(N)c(F)c(N)c1(I),I,NH2,F,NH2,20,2.215355738,2.1048,2.531,-4.55,Cs,2.1108,0.006,2.509,-0.022,-2.161,3.1155,0.139,-13.13,0.0148,0.0099,-0.00103,-0.00887,0.0437,0.00103,3.19E-06,-0.0148,-4.48,-4.413642411,-4.05,-3.988482106,0.059627208,0.001890686,5.93,-0.02478
2-4-6_NH2_3-5_NO2BI,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(I),I,NH2,NO2,NH2,31,2.208226166,2.1174,2.413,-4.304,C1,2.1253,0.0079,2.357,-0.056,-1.149,3.0669,0.161,-13.932,0.0163,0.0109,-0.000996,-0.00988,0.0475,0.000996,4.16E-07,-0.0163,-5.83,-5.752379586,-5.36,-5.28480767,0.074899534,0.000292796,83.4,-0.02971
2-4-6_OH_3-5_CNBI,c1(O)c(C#N)c(O)c(C#N)c(O)c1(I),I,OH,CN,OH,42.5,2.188212231,2.1039,2.573,-4.457,C1,2.1153,0.0114,2.473,-0.1,-0.81,3,0.172,-14.386,0.0185,0.0123,-0.000927,-0.0114,0.053,0.000927,8.83E-07,-0.0185,-7.6,-7.500918869,-7.12,-7.019524308,0.100517609,-4.19E-05,8.68,-0.03866
2-4-6_OH_3-5_FBI,c1(O)c(F)c(O)c(F)c(O)c1(I),I,OH,F,OH,33.4,2.199442622,2.105,2.549,-3.979,C1,2.1138,0.0088,2.485,-0.064,-0.955,3.049,0.167,-13.66,0.0168,0.0112,-0.000992,-0.0103,0.0489,0.000992,3.24E-06,-0.0168,-6.29,-6.212906675,-5.84,-5.76172754,0.078041474,0.000230986,7.28,-0.03217
2-4-6_SH_3-5_CNBI,c1(S)c(C#N)c(S)c(C#N)c(S)c1(I),I,SH,CN,SH,37.6,2.195297549,71.6315,2.402,-6.034,C1,2.1228,-69.5087,2.339,-0.063,-2.831,3.0068,0.168,-14.328,0.0182,0.0122,-0.000934,-0.0112,0.0524,0.000934,1.09E-06,-0.0182,-7.1,-7.003899343,-6.59,-6.498649363,0.091083004,0.000267633,8.63,-0.03818
2-4-6_SH_3-5_FBI,c1(S)c(F)c(S)c(F)c(S)c1(I),I,SH,F,SH,30.2,2.20318392,2.109,2.451,-5.659,C1,2.1176,0.0086,2.397,-0.054,-2.922,3.0423,0.165,-13.791,0.017,0.0114,-0.000982,-0.0104,0.0495,0.000982,2.93E-06,-0.017,-6.11,-6.0350435,-5.63,-5.556629581,0.072445972,0.000924447,7.61,-0.03321
2-4-6-BH2BI,c1(B)cc(B)cc(B)c1(I),I,BH2,H,BH2,18.2,2.21840485,2.1236,2.257,-13.546,C1,2.126,0.0024,2.274,0.017,-11.641,3.0995,0.144,-12.917,0.0153,0.0102,-0.00103,-0.00915,0.0448,0.00103,6.91E-10,-0.0153,-4.49,-4.429210294,-4.04,-3.977060672,0.059528061,0.003411267,5.97,-0.02702
2-4-6-ClBI,c1(Cl)cc(Cl)cc(Cl)c1(I),I,Cl,H,Cl,26.1,2.182217925,2.0944,2.67,-5.807,C1,2.1077,0.0133,2.518,-0.152,-2.593,3.0017,0.164,-13.937,0.018018637,0.012254936,-0.000988949,-0.011265987,0.052975555,0.000988949,7.10E-07,-0.018018637,-6.11,-6.002362805,-5.63,-5.526605134,0.098575467,0.004819398,8.2,-0.03688
2-4-6-CN-3-5-CF3BI,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(I),I,CN,CF3,CN,43.1,2.15693612,2.0864,2.746,-8.718,C1,2.1087,0.0223,2.417,-0.329,-4.602,2.8701,0.22,-15.285,0.023269427,0.015775552,-0.000594579,-0.015180973,0.065480597,0.000594579,1.06E-06,-0.023269427,-9.55,-9.344848633,-8.99,-8.781531806,0.203915487,0.004552707,0.37,-0.05772
2-4-6-CN-3-5-NO2BI,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(I),I,CN,NO2,CN,48.7,2.150161443,2.0831,2.779,-8.991,C1,2.1086,0.0255,2.381,-0.398,-4.353,2.8398,0.225,-15.704,0.024726691,0.016708148,-0.000418804,-0.016289344,0.068507906,0.000418804,1.45E-06,-0.024726691,-10.51,-10.30132371,-9.95,-9.738198852,0.20744209,0.004359057,488.62,-0.06436
2-4-6-CNBI,c1(C#N)cc(C#N)cc(C#N)c1(I),I,CN,H,CN,37,2.167785199,2.087,2.749,-8.506,C1,2.1041,0.0171,2.515,-0.234,-5.044,2.9201,0.198,-14.536,0.021152254,0.014340023,-0.000790298,-0.013549725,0.060521323,0.000790298,2.04E-06,-0.021152254,-8.25,-8.129323826,-7.73,-7.607079925,0.118922463,0.003997612,10.22,-0.04909
2-4-6-F-3-5-CF3BI,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(I),I,F,CF3,F,36.4,2.1650574,2.0821,2.866,-4.309,C1,2.1025,0.0204,2.574,-0.292,0.066,2.9294,0.189,-14.796,0.020598882,0.014064211,-0.000849951,-0.013214261,0.059656688,0.000849951,2.28E-07,-0.020598882,-7.91,-7.740306841,-7.38,-7.212720965,0.163491325,0.00378771,10.09,-0.0469
2-4-6-F-3-5-NO2BI,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(I),I,F,NO2,F,41.9,2.157402262,2.0825,2.857,-4.442,C1,2.1063,0.0238,2.506,-0.351,0.579,2.8936,0.209,-15.407,0.022079552,0.015056797,-0.000728915,-0.014327882,0.063142905,0.000728915,6.18E-07,-0.022079552,-8.85,-8.652831156,-8.32,-8.123687104,0.192645417,0.003667479,11.3,-0.05343
2-4-6-FBI,c1(F)cc(F)cc(F)c1(I),I,F,H,F,26.6,2.179594738,2.0848,2.837,-4.092,C1,2.0996,0.0148,2.649,-0.188,-0.6,3.0006,0.166,-13.881,0.01801379,0.012274395,-0.000992201,-0.011282194,0.053066402,0.000992201,1.90E-06,-0.01801379,-6.19,-6.080907542,-5.71,-5.602110911,0.103086633,0.004802456,8.1,-0.03647
2-4-6-NH2BI,c1(N)cc(N)cc(N)c1(I),I,NH2,H,NH2,14.4,2.227472586,2.1126,2.41,-5.134,C1,2.1162,0.0036,2.43,0.02,-2.993,3.1602,0.118,-12.781,0.0137,0.0091,-0.00102,-0.00808,0.0405,0.00102,1.97E-06,-0.0137,-3.69,-3.633828197,-3.28,-3.221894001,0.055034466,0.003071534,5.17,-0.02109
2-4-6-OHBI,c1(O)cc(O)cc(O)c1(I),I,OH,H,OH,27.2,2.210425486,2.1094,2.471,-4.43,C1,2.1154,0.006,2.457,-0.014,-1.761,3.0913,0.154,-13.289,0.0156,0.0104,-0.00102,-0.00937,0.0456,0.00102,2.94E-06,-0.0156,-5.36,-5.290559954,-4.92,-4.85313742,0.066206017,0.000656563,6.4,-0.02749
2-4-6-SHBI,c1(S)cc(S)cc(S)c1(I),I,SH,H,SH,25.5,2.212121731,2.1135,2.382,-5.847,C1,2.1196,0.0061,2.369,-0.013,-3.317,3.075,0.157,-13.531,0.016,0.0107,-0.00101,-0.0097,0.0468,0.00101,3.52E-06,-0.016,-5.39,-5.321797377,-4.91,-4.843651915,0.065260988,0.001087097,6.87,-0.02947
2-6_NH2_3-4-5_CNBI,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(I),I,NH2,CN,CN,38.6,2.197249507,2.1051,2.525,-6.772,C1,2.113,0.0079,2.473,-0.052,-3.604,3.0442,0.165,-14.024,0.017,0.0113,-0.000979,-0.0103,0.0492,0.000979,3.00E-06,-0.017,-6.72,-6.642459455,-6.24,-6.164649851,0.076908192,-0.001558043,7.68,-0.03355
2-6_NH2_3-4-5_FBI,c1(N)c(F)c(F)c(F)c(N)c1(I),I,NH2,F,F,25.7,2.20818669,2.1045,2.54,-5.744,Cs,2.1117,0.0072,2.502,-0.038,-3.196,3.088,0.153,-13.146,0.0156,0.0104,-0.00102,-0.00941,0.0458,0.00102,1.06E-06,-0.0156,-5.14,-5.076792568,-4.7,-4.63338629,0.065475596,0.001138114,6.47,-0.02764
2-6_NH2_3-5_CN_4_NO2BI,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1(I),I,NH2,CN,NO2,38.9,2.195777419,2.1041,2.541,-6.791,C1,2.1135,0.0094,2.472,-0.069,-3.611,3.0305,0.169,-14.039,0.0174,0.0116,-0.000971,-0.0107,0.0504,0.000971,2.37E-06,-0.0174,-6.8,-6.722555458,-6.32,-6.24077065,0.079273275,-4.39E-05,7.99,-0.03476
2-6_NH2_3-5_F_4_NO2BI,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1(I),I,NH2,F,NO2,31.3,2.201550474,2.1025,2.553,-7.029,C1,2.1107,0.0082,2.495,-0.058,-4.323,3.0588,0.163,-13.581,0.0165,0.011,-0.001,-0.01,0.0481,0.001,4.24E-07,-0.0165,-5.89,-5.812666683,-5.44,-5.363440766,0.075947475,0.000611759,6.75,-0.03097
2-6_NH2_3-5_NO2_4_CNBI,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1(I),I,NH2,NO2,CN,39.6,2.19612737,2.1087,2.485,-6.616,C1,2.1187,0.01,2.408,-0.077,-3.368,3.0233,0.169,-14.21,0.0176,0.0118,-0.000955,-0.0108,0.051,0.000955,3.55E-06,-0.0176,-6.96,-6.872417277,-6.47,-6.384143272,0.085943701,-8.70E-05,8.17,-0.03574
2-6_NH2_3-5_NO2_4_FBI,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1(I),I,NH2,NO2,F,35.7,2.200097826,2.1106,2.478,-5.518,C1,2.1198,0.0092,2.417,-0.061,-2.371,3.0427,0.167,-13.887,0.017,0.0114,-0.00098,-0.0104,0.0494,0.00098,7.78E-07,-0.017,-6.42,-6.341719943,-5.95,-5.868302718,0.081651536,4.57E-05,7.63,-0.0332
2-6_OH_3-5_BH2_4_CNBI,c1(O)c(B)c(C#N)c(B)c(O)c1(I),I,OH,BH2,CN,38.5,2.200758423,2.1155,2.396,-7.062,C1,2.1229,0.0074,2.368,-0.028,-3.694,3.035,0.169,-14.175,0.0174,0.0115,-0.000959,-0.0106,0.05,0.000959,2.53E-06,-0.0174,-6.87,-6.785176514,-6.4,-6.314580332,0.085515112,-9.54E-05,7.81,-0.03444
2-6_OH_3-5_BH2_4_FBI,c1(O)c(B)c(F)c(B)c(O)c1(I),I,OH,BH2,F,34.3,2.204913006,2.1156,2.408,-5.979,C1,2.1223,0.0067,2.389,-0.019,-2.781,3.0552,0.165,-13.825,0.0167,0.0111,-0.000985,-0.0101,0.0484,0.000985,7.95E-07,-0.0167,-6.32,-6.234399503,-5.85,-5.768825371,0.081115643,5.90E-05,7.29,-0.03178
2-6_OH_3-5_BH2_4_NO2BI,c1(O)c(B)c(N(=O)=O)c(B)c(O)c1(I),I,OH,BH2,NO2,38.9,2.19935085,2.1144,2.423,-6.63,C1,2.1224,0.008,2.385,-0.038,-3.19,3.0312,0.169,-14.112,0.0175,0.0116,-0.000958,-0.0107,0.0503,0.000958,6.14E-07,-0.0175,-6.94,-6.85293248,-6.47,-6.380617672,0.089460264,-7.79E-05,7.93,-0.03485
2-6_OH_3-5_CN_4_NO2BI,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(I),I,OH,CN,NO2,50.1,2.179113145,2.1028,2.582,-6.245,C1,2.1169,0.0141,2.435,-0.147,-2.225,2.9569,0.183,-14.829,0.02,0.0134,-0.000833,-0.0126,0.0569,0.000833,3.30E-06,-0.02,-8.76,-8.640852,-8.26,-8.13783394,0.12218865,-2.26E-05,10.04,-0.04524
2-6_OH_3-5_F_4_NO2BI,c1(O)c(F)c(N(=O)=O)c(F)c(O)c1(I),I,OH,F,NO2,42.3,2.18836174,2.1036,2.561,-5.979,C1,2.1148,0.0112,2.456,-0.105,-2.587,3.0011,0.172,-14.084,0.0184,0.0123,-0.000927,-0.0114,0.0529,0.000927,2.25E-06,-0.0184,-7.56,-7.457149454,-7.08,-6.980334674,0.099686159,-2.08E-05,8.54,-0.03856
2-6_OH_3-5_NH2_4_CNBI,c1(O)c(N)c(C#N)c(N)c(O)c1(I),I,OH,NH2,CN,32,2.206875732,2.1099,2.462,-7.342,C1,2.1164,0.0065,2.435,-0.027,-4.444,3.0662,0.162,-13.874,0.0164,0.0109,-0.000996,-0.00989,0.0475,0.000996,7.48E-07,-0.0164,-5.97,-5.895934056,-5.53,-5.451610258,0.078157563,0.000232179,6.88,-0.03052
2-6_OH_3-5_NH2_4_FBI,c1(O)c(N)c(F)c(N)c(O)c1(I),I,OH,NH2,F,27.1,2.211583777,2.1099,2.468,-5.999,C1,2.1158,0.0059,2.455,-0.013,-3.255,3.0901,0.154,-13.402,0.0156,0.0104,-0.00101,-0.00939,0.0457,0.00101,6.22E-07,-0.0156,-5.35,-5.283398188,-4.92,-4.849631963,0.069730111,0.000637926,6.35,-0.02774
2-6_OH_3-5_NH2_4_NO2BI,c1(O)c(N)c(N(=O)=O)c(N)c(O)c1(I),I,OH,NH2,NO2,33.2,2.20489328,2.1098,2.454,-8.17,C1,2.1165,0.0067,2.428,-0.026,-5.228,3.0576,0.165,-13.934,0.0166,0.0111,-0.000989,-0.0101,0.0482,0.000989,1.35E-06,-0.0166,-6.18,-6.092951332,-5.73,-5.642222465,0.087619151,0.000158383,7.06,-0.03155
2-6_OH_3-5_NO2_4_CNBI,c1(O)c(N(=O)=O)c(C#N)c(N(=O)=O)c(O)c1(I),I,OH,NO2,CN,50.5,2.178025359,2.1018,2.583,-6.118,C1,2.1164,0.0146,2.424,-0.159,-2.017,2.9511,0.186,-14.943,0.0203,0.0135,-0.000816,-0.0127,0.0574,0.000816,1.79E-06,-0.0203,-8.88,-8.757618967,-8.38,-8.256815869,0.123180115,4.02E-06,10.15,-0.0461
2-6_OH_3-5_NO2_4_FBI,c1(O)c(N(=O)=O)c(F)c(N(=O)=O)c(O)c1(I),I,OH,NO2,F,46.5,2.181919296,2.1038,2.576,-4.911,C1,2.1172,0.0134,2.44,-0.136,-1.005,2.9723,0.177,-14.46,0.0195,0.013,-0.000872,-0.0121,0.0555,0.000872,2.21E-06,-0.0195,-8.27,-8.156634294,-7.79,-7.674090712,0.115926105,-1.68E-05,9.45,-0.04272
2-6_OH_4_NH2_3-5_CNBI,c1(O)c(C#N)c(N)c(C#N)c(O)c1(I),I,OH,CN,NH2,38.9,2.192692754,2.1038,2.569,-3.438,C1,2.1141,0.0103,2.487,-0.082,0.052,3.0194,0.171,-14.384,0.0178,0.0119,-0.000958,-0.0109,0.0514,0.000958,1.70E-06,-0.0178,-7.08,-6.990768706,-6.61,-6.51917051,0.090813175,1.63E-05,8.13,-0.03593
2-6_OH_4_NH2_3-5_FBI,c1(O)c(F)c(N)c(F)c(O)c1(I),I,OH,F,NH2,30.4,2.203119089,2.1049,2.545,-3.204,C1,2.113,0.0081,2.492,-0.053,-0.328,3.0637,0.163,-13.704,0.0164,0.0109,-0.001,-0.00993,0.0478,0.001,1.32E-06,-0.0164,-5.91,-5.833777358,-5.47,-5.393418176,0.076059799,0.000522025,6.93,-0.03038
2-6_opp_H_3-5_4-OHBI,c1(O)c(O)c(O)c(O)c(O)c1(I),I,OH,OH,OH,28.2,2.208539135,2.1075,2.501,-4.62,Cs,2.1141,0.0066,2.474,-0.027,-1.819,3.081,0.158,-13.482,0.0159,0.0106,-0.00101,-0.00957,0.0464,0.00101,1.29E-09,-0.0159,-5.54,-5.472317453,-5.1,-5.029203437,0.070235883,0.00056068,6.54,-0.02857
2-6_opp_H_3-5_4-SHBI,c1(S)c(S)c(S)c(S)c(S)c1(I),I,SH,SH,SH,27.4,2.20969065,2.1208,2.298,-6.312,C1,2.1278,0.007,2.28,-0.018,-3.4,3.0556,0.161,-14.03,0.0166,0.0111,-0.000987,-0.0101,0.0484,0.000987,2.00E-06,-0.0166,-5.75,-5.678348275,-5.27,-5.195669429,0.073092307,0.001238264,,-0.03174
2-6_opp_H_3-5-OHBI,c1(O)c(O)c(O)c(O)c(O)c1(I),I,OH,OH,H,27,2.210010592,2.1111,2.454,-6.591,C1,2.1173,0.0062,2.432,-0.022,-3.894,3.0812,0.158,-13.365,0.0159,0.0106,-0.00101,-0.00957,0.0464,0.00101,3.40E-06,-0.0159,-5.51,-5.438939595,-5.07,-5.000225399,0.068991532,0.000783069,6.52,-0.02862
